time,Wan down
306,599.6737999999999
307,599.6737999999999
308,596.588
309,597.6165999999998
310,592.4735999999999
311,599.6737999999998
312,605.8453999999999
313,595.5594
314,589.3878
315,591.4449999999999
316,587.3306
317,588.3592
318,585.2733999999999
319,577.0446
320,571.9016
321,576.016
322,565.73
323,572.9301999999999
324,567.7871999999999
325,563.6727999999999
326,571.9015999999999
327,579.1017999999999
328,588.3592
329,583.2162
330,585.2734
331,586.3019999999999
332,573.9588
333,579.1018
334,574.9874
335,574.9874
336,563.6728
337,569.8444000000001
338,567.7872000000001
339,567.7872000000001
340,562.6442000000001
341,567.7872000000001
342,571.9016
343,574.9874
344,574.9874
345,576.016
346,585.2733999999999
347,578.0732
348,585.2733999999999
349,578.0731999999999
350,571.9015999999999
351,577.0445999999998
352,573.9587999999999
353,573.9587999999999
354,576.0159999999998
355,576.0159999999998
356,579.1017999999999
357,579.1017999999999
358,577.0446
359,578.0731999999999
