time,Wan down
0,1.0286
1,1.0286
2,12.343200000000003
3,12.343200000000003
4,16.4576
5,16.4576
6,22.629200000000008
7,22.629200000000008
8,28.80080000000001
9,41.14399999999999
10,45.258399999999995
11,54.51580000000001
12,57.601600000000005
13,59.6588
14,59.6588
15,64.80179999999999
16,64.80179999999999
17,64.80179999999999
18,68.91619999999999
19,68.91619999999999
20,68.91619999999999
21,68.91619999999999
22,68.91619999999999
23,72.002
24,72.002
25,77.145
26,82.288
27,86.4024
28,92.57399999999998
29,99.77420000000001
30,106.97439999999999
31,111.08879999999999
32,121.3748
33,122.40339999999998
34,130.6322
35,133.71800000000002
36,135.7752
37,135.7752
38,141.9468
39,147.08979999999997
40,158.40439999999998
41,160.46159999999998
42,160.46159999999998
43,164.576
44,164.576
45,164.576
46,181.03359999999998
47,181.03359999999998
48,181.03359999999998
49,185.14799999999997
50,189.2624
51,189.2624
52,189.2624
53,195.43400000000003
54,202.63420000000002
55,202.63420000000002
56,202.63420000000002
57,207.7772
58,214.9774
59,224.2348
60,224.2348
61,224.2348
62,246.864
63,246.864
64,246.864
65,248.9212
66,254.0642
67,256.1214
68,268.4646
69,264.3502
70,262.29299999999995
71,262.29299999999995
72,264.3502
73,264.3502
74,264.3502
75,267.4359999999999
76,270.5217999999999
77,277.722
78,284.9222
79,282.86499999999995
80,288.00800000000004
81,294.17959999999994
82,294.17959999999994
83,299.32259999999997
84,299.32259999999997
85,309.6086
86,310.6372
87,306.52279999999996
88,306.52279999999996
89,313.723
90,313.723
91,326.0662
92,329.152
93,325.03760000000005
94,322.98040000000003
95,333.26640000000003
96,342.5238
97,347.66679999999997
98,351.7811999999999
99,351.7811999999999
100,358.98139999999995
101,360.01
102,362.06719999999996
103,372.35319999999996
104,383.66779999999994
105,383.66779999999994
106,383.66779999999994
107,386.75359999999995
108,386.75359999999995
109,388.8108
110,394.9824
111,399.09680000000003
112,403.2112
113,401.154
114,401.154
115,401.154
116,410.41139999999996
117,410.41139999999996
118,414.5258
119,414.5258
120,418.6402
121,415.5544
122,414.5257999999999
123,423.7831999999999
124,426.86899999999997
125,424.8118
126,428.9262
127,426.869
128,429.9548
129,432.01199999999994
130,437.155
131,437.155
132,439.21219999999994
133,444.35519999999997
134,459.7842
135,459.7842
136,461.84139999999996
137,459.7842
138,459.7842
139,462.86999999999995
140,462.86999999999995
141,469.04159999999996
142,469.04159999999996
143,476.2418
144,490.6421999999999
145,484.4706
146,488.5849999999999
147,494.75659999999993
148,494.75659999999993
149,497.8424
150,499.89959999999996
151,508.1284
152,519.443
153,513.2714000000001
154,518.4143999999999
155,525.6145999999999
156,529.7289999999999
157,540.015
158,544.1294
159,544.1294
160,546.1865999999999
161,554.4153999999999
162,548.2438
163,543.1008
164,551.3296
165,552.3582
166,555.444
167,563.6728
168,563.6728
169,563.6728
170,585.2734
171,588.3592
172,586.3019999999999
173,586.3019999999999
174,591.4449999999999
175,595.5594
176,595.5594
177,596.588
178,598.6451999999999
179,602.7596
180,605.8453999999999
181,610.9884
182,618.1886
183,613.0455999999999
184,608.9311999999999
185,603.7882
186,601.7309999999999
187,603.7881999999998
188,607.9025999999999
189,607.9025999999999
190,607.9025999999999
191,614.0741999999999
192,614.0741999999999
193,606.874
194,610.9884
195,610.9884
196,606.8739999999999
197,602.7595999999999
198,605.8453999999998
199,615.1027999999999
200,620.2457999999998
201,624.3601999999997
202,623.3315999999999
203,633.6176
204,631.5604
205,636.7034
206,636.7034
207,640.8177999999999
208,640.8177999999998
209,646.9893999999999
210,654.1895999999999
211,648.0179999999998
212,655.2181999999999
213,651.1038
214,645.9608
215,642.875
216,637.7319999999999
217,626.4173999999998
218,626.4173999999998
219,636.7033999999999
220,626.4173999999998
221,623.3315999999999
222,622.3029999999999
223,612.0169999999999
224,619.2171999999999
225,621.2743999999999
226,619.2171999999999
227,616.1313999999999
228,606.8739999999999
229,608.9311999999999
230,613.0455999999999
231,604.8168
232,608.9311999999999
233,612.0169999999999
234,617.16
235,617.16
236,633.6175999999999
237,635.6748
238,641.8463999999999
239,632.5889999999999
240,634.6462
241,628.4746
242,631.5604
243,632.5889999999999
244,648.0179999999999
245,642.875
246,637.732
247,639.7891999999998
248,643.9035999999999
249,641.8463999999999
250,645.9607999999998
251,643.9035999999999
252,639.7891999999999
253,635.6747999999999
254,630.5318
255,627.4459999999999
256,632.5889999999999
257,632.5889999999999
258,637.732
259,637.732
260,640.8178
261,626.4174
262,621.2744
263,617.16
264,617.16
265,621.2744
266,621.2744
267,624.3602
268,624.3602
269,626.4173999999999
270,624.3601999999997
271,628.4745999999999
272,630.5318
273,616.1314
274,613.0456
275,623.3316
276,609.9598
277,603.7882000000001
278,600.7024
279,609.9598
280,612.017
281,608.9312000000001
282,603.7882000000001
283,605.8454
284,601.7310000000001
285,601.7310000000001
286,592.4736
287,589.3878000000001
288,597.6166000000001
289,593.5022
290,599.6738
291,595.5594
292,595.5594
293,596.588
294,604.8168
295,602.7596
296,598.6451999999999
297,597.6166
298,586.302
299,584.2447999999999
300,583.2162000000001
301,583.2162000000001
302,586.302
303,595.5594000000002
304,597.6166000000001
305,602.7596000000001
