time,V2I
0,6.6244
1,6.6244
2,34.7264
3,34.7264
4,44.4366
5,44.4366
6,61.7998
7,61.7998
8,79.163
9,108.2936
10,118.0038
11,138.45280000000002
12,147.13440000000003
13,154.78740000000002
14,154.78740000000002
15,171.122
16,171.122
17,171.122
18,180.8322
19,180.8322
20,180.8322
21,180.8322
22,180.8322
23,189.5138
24,189.5138
25,200.2526
26,216.5872
27,226.29739999999998
28,243.66059999999996
29,256.4565999999999
30,274.8484
31,284.5586
32,306.03620000000006
33,312.66060000000004
34,332.0810000000001
35,340.7626000000001
36,348.4156000000001
37,348.4156000000001
38,360.1830000000001
39,370.92180000000013
40,393.4280000000001
41,401.08100000000013
42,401.08100000000013
43,410.7912000000001
44,410.7912000000001
45,410.7912000000001
46,444.0362000000001
47,444.0362000000001
48,444.0362000000001
49,453.7464000000001
50,463.4566000000001
51,463.4566000000001
52,463.4566000000001
53,469.62820000000005
54,482.42420000000004
55,482.42420000000004
56,482.42420000000004
57,493.16300000000007
58,505.95900000000006
59,526.408
60,526.408
61,526.408
62,577.0162000000001
63,577.0162000000001
64,577.0162000000001
65,584.6692
66,595.408
67,603.061
68,621.0000000000001
69,611.2898000000001
70,609.2326000000002
71,609.2326000000002
72,616.8856000000002
73,616.8856000000002
74,616.8856000000002
75,619.9714000000001
76,628.6530000000001
77,647.0448000000001
78,665.4366000000001
79,657.7836000000001
80,668.5224000000001
81,680.2898
82,680.2898
83,691.0286
84,691.0286
85,712.5061999999999
86,713.5347999999999
87,703.8245999999999
88,703.8245999999999
89,722.2163999999999
90,722.2163999999999
91,751.3469999999999
92,760.0285999999999
93,750.3183999999999
94,742.6653999999999
95,764.1429999999999
96,784.5919999999999
97,795.3307999999998
98,805.0409999999998
99,805.0409999999998
100,812.2411999999998
101,807.6739999999999
102,815.3269999999999
103,842.4003999999999
104,864.9065999999999
105,864.9065999999999
106,864.9065999999999
107,873.5881999999999
108,873.5881999999999
109,881.2411999999999
110,893.0085999999998
111,902.7187999999999
112,906.8331999999998
113,904.7759999999998
114,904.7759999999998
115,904.7759999999998
116,925.2249999999999
117,925.2249999999999
118,940.5310000000001
119,940.5310000000001
120,950.2412
121,941.5596
122,940.5310000000001
123,960.9799999999999
124,969.6616
125,962.0086
126,971.7188
127,964.0658
128,972.7474
129,980.4004000000001
130,991.1392000000001
131,991.1392000000001
132,998.7922000000001
133,1009.5310000000001
134,1041.7474
135,1041.7474
136,1043.8046
137,1036.1516
138,1036.1516
139,1044.8331999999998
140,1044.8331999999998
141,1056.6005999999998
142,1056.6005999999998
143,1074.9923999999996
144,1111.7759999999996
145,1094.4127999999998
146,1104.1229999999998
147,1115.8903999999998
148,1115.8903999999998
149,1124.572
150,1132.225
151,1151.6453999999999
152,1168.5557999999999
153,1156.7884
154,1167.5271999999998
155,1185.9189999999996
156,1195.6291999999996
157,1217.1067999999996
158,1226.8169999999996
159,1226.8169999999996
160,1228.8741999999997
161,1248.2945999999997
162,1230.9313999999997
163,1214.5967999999998
164,1234.0171999999998
165,1235.0457999999996
166,1243.7273999999995
167,1263.1477999999995
168,1263.1477999999993
169,1263.1477999999993
170,1307.1315999999993
171,1315.8131999999991
172,1308.1601999999993
173,1308.1601999999993
174,1318.8989999999994
175,1328.6091999999994
176,1328.6091999999994
177,1329.6377999999993
178,1337.2907999999993
179,1347.0009999999993
180,1355.6825999999992
181,1366.4213999999993
182,1379.2173999999993
183,1362.8827999999996
184,1347.5767999999994
185,1336.8379999999995
186,1329.1849999999995
187,1336.8379999999995
188,1346.5481999999995
189,1346.5481999999995
190,1346.5481999999995
191,1358.3155999999994
192,1358.3155999999994
193,1339.9237999999996
194,1349.6339999999996
195,1349.6339999999996
196,1339.9237999999996
197,1330.2135999999996
198,1333.2993999999994
199,1353.7483999999993
200,1364.4871999999993
201,1374.1973999999993
202,1373.1687999999992
203,1389.0505999999996
204,1381.3975999999996
205,1392.1363999999996
206,1392.1363999999996
207,1401.8465999999994
208,1396.2507999999993
209,1413.6139999999991
210,1426.4099999999992
211,1409.0467999999994
212,1421.8427999999992
213,1412.1325999999992
214,1401.3937999999994
215,1392.7121999999993
216,1381.9733999999992
217,1359.4671999999994
218,1359.4671999999996
219,1380.9447999999995
220,1365.0629999999996
221,1356.3813999999995
222,1360.9485999999995
223,1339.4709999999993
224,1352.2669999999994
225,1359.9199999999994
226,1352.2669999999996
227,1343.5853999999997
228,1323.1363999999994
229,1330.7893999999994
230,1340.4995999999994
231,1321.0791999999994
232,1325.1935999999996
233,1328.2793999999997
234,1339.0181999999998
235,1339.0181999999998
236,1372.2631999999999
237,1374.3203999999998
238,1391.6835999999996
239,1371.2345999999995
240,1378.8875999999996
241,1367.1201999999996
242,1375.8017999999995
243,1376.8303999999994
244,1403.450999999999
245,1398.307999999999
246,1387.569199999999
247,1389.6263999999992
248,1399.3365999999992
249,1391.6835999999992
250,1401.3937999999991
251,1399.336599999999
252,1395.222199999999
253,1385.511999999999
254,1385.964799999999
255,1382.8789999999992
256,1393.6177999999993
257,1393.6177999999993
258,1398.760799999999
259,1398.760799999999
260,1401.846599999999
261,1370.658799999999
262,1354.324199999999
263,1344.613999999999
264,1344.613999999999
265,1354.3241999999989
266,1354.3241999999989
267,1363.0057999999988
268,1363.0057999999988
269,1370.6587999999988
270,1368.6015999999986
271,1372.7159999999985
272,1374.7731999999987
273,1343.5853999999988
274,1340.4995999999992
275,1361.9771999999994
276,1331.8179999999995
277,1320.0505999999996
278,1316.9647999999995
279,1337.4137999999994
280,1339.4709999999993
281,1330.7893999999992
282,1320.0505999999993
283,1327.7035999999994
284,1317.9933999999994
285,1317.9933999999994
286,1297.5443999999993
287,1294.4585999999995
