time,Wan up
0,1065.9458000000002
1,1065.9458000000002
2,1067.9432000000002
3,1067.9432000000002
4,1068.6090000000002
5,1068.6090000000002
6,1069.9406000000001
7,1069.9406000000001
8,1071.2722
9,1073.2696
10,1073.9354
11,1075.267
12,1075.9328
13,1076.5986
14,1076.5986
15,1077.9302
16,1077.9302
17,1077.9302
18,1078.596
19,1078.596
20,1078.596
21,1078.596
22,1078.596
23,1079.2618
24,1079.2618
25,1079.9276
26,1081.2592000000002
27,1081.9250000000002
28,1083.2566000000002
29,1083.9224000000002
30,1085.2540000000001
31,1085.9198000000001
32,1087.2514
33,1087.9172
34,1089.2488
35,1089.9146
36,1090.5804
37,1090.5804
38,1091.2462
39,1091.9120000000003
40,1093.2436000000002
41,1093.9094
42,1093.9094
43,1094.5752000000002
44,1094.5752000000002
45,1094.5752000000002
46,1096.5726
47,1096.5726
48,1096.5726
49,1097.2384000000002
50,1097.9042
51,1097.9042
52,1097.9042
53,1097.9042
54,1098.5700000000002
55,1098.5700000000002
56,1098.5700000000002
57,1099.2358
58,1099.9016000000001
59,1101.2332000000001
60,1101.2332000000001
61,1101.2332000000001
62,1104.5622
63,1104.5622
64,1104.5622
65,1105.2280000000003
66,1105.8938
67,1106.5596000000003
68,1107.2254
69,1106.5596000000003
70,1106.5596000000003
71,1106.5596000000003
72,1107.2254
73,1107.2254
74,1107.2254
75,1107.2254
76,1107.8912000000003
77,1109.2228000000002
78,1110.5544000000002
79,1109.8886000000002
80,1110.5544000000002
81,1111.2202
82,1111.2202
83,1111.8860000000002
84,1111.8860000000002
85,1113.2176000000002
86,1113.2176000000002
87,1112.5518
88,1112.5518
89,1113.8834
90,1113.8834
91,1115.8808000000001
92,1116.5466000000001
93,1115.8808000000001
94,1115.2150000000001
95,1116.5466000000001
96,1117.8782
97,1118.544
98,1119.2098
99,1119.2098
100,1119.2098
101,1118.544
102,1119.2098
103,1121.2072
104,1122.5388
105,1122.5388
106,1122.5388
107,1123.2046
108,1123.2046
109,1123.8704
110,1124.5362
111,1125.202
112,1125.202
113,1125.202
114,1125.202
115,1125.202
116,1126.5336
117,1126.5336
118,1127.8652
119,1127.8652
120,1128.531
121,1127.8652
122,1127.8652
123,1129.1968
124,1129.8626
125,1129.1968
126,1129.8626
127,1129.1968
128,1129.8626
129,1130.5284
130,1131.1942
131,1131.1942
132,1131.8600000000001
133,1132.5258000000001
134,1134.5232
135,1134.5232
136,1134.5232
137,1133.8573999999999
138,1133.8573999999999
139,1134.5231999999999
140,1134.5231999999999
141,1135.189
142,1135.189
143,1136.5206000000003
144,1139.1838000000002
145,1137.8522000000003
146,1138.5180000000003
147,1139.1838000000002
148,1139.1838000000002
149,1139.8496000000002
150,1140.5154000000002
151,1141.8470000000002
152,1142.5128000000002
153,1141.8470000000002
154,1142.5128
155,1143.8444000000002
156,1144.5102000000002
157,1145.8418000000001
158,1146.5076000000001
159,1146.5076000000001
160,1146.5076000000001
161,1147.8392000000001
162,1146.5076000000001
163,1145.1760000000002
164,1146.5076000000001
165,1146.5076000000001
166,1147.1734000000001
167,1148.505
168,1148.505
169,1148.505
170,1151.1682
171,1151.834
172,1151.1682
173,1151.1682
174,1151.834
175,1152.4998
176,1152.4998
177,1152.4998
178,1153.1656
179,1153.8314
180,1154.4972
181,1155.163
182,1155.8288
183,1154.4972
184,1153.1656
185,1152.4998
186,1151.834
187,1152.4998
188,1153.1656
189,1153.1656
190,1153.1656
191,1153.8314
192,1153.8314
193,1152.4998
194,1153.1656
195,1153.1656
196,1152.4998
197,1151.834
198,1151.834
199,1153.1656
200,1153.8314
201,1154.4972
202,1154.4972
203,1155.163
204,1154.4972
205,1155.163
206,1155.163
207,1155.8288
208,1155.163
209,1156.4946
210,1157.1604
211,1155.8288
212,1156.4946
213,1155.8288
214,1155.163
215,1154.4972
216,1153.8314
217,1152.4998
218,1152.4998
219,1153.8314
220,1153.1656
221,1152.4998
222,1153.1656
223,1151.834
224,1152.4998
225,1153.1656
226,1152.4998
227,1151.834
228,1150.5024
229,1151.1682
230,1151.834
231,1150.5024
232,1150.5024
233,1150.5024
234,1151.1682
235,1151.1682
236,1153.1656
237,1153.1656
238,1154.4972
239,1153.1656
240,1153.8314
241,1153.1656
242,1153.8314
243,1153.8314
244,1155.163
245,1155.163
246,1154.4972
247,1154.4972
248,1155.163
249,1154.4972
250,1155.163
251,1155.163
252,1155.1629999999998
253,1154.4972
254,1155.163
255,1155.163
256,1155.8287999999998
257,1155.8287999999998
258,1155.8288
259,1155.8288
260,1155.8288
261,1153.8314
262,1152.4998
263,1151.8339999999998
264,1151.8339999999998
265,1152.4997999999998
266,1152.4997999999998
267,1153.1655999999998
268,1153.1655999999998
269,1153.8313999999998
270,1153.8313999999998
271,1153.8313999999998
272,1153.8313999999998
273,1151.8339999999998
274,1151.8339999999998
275,1153.1656
276,1151.1682
