time,CCTV,V2I
0,1401.28,6.6244
1,1401.28,6.6244
2,1401.2799999999995,34.7264
3,1401.2799999999995,34.7264
4,1401.2799999999995,44.4366
5,1401.2799999999995,44.4366
6,1401.2799999999995,61.7998
7,1401.2799999999995,61.7998
8,1401.2799999999995,79.163
9,1401.2799999999995,108.2936
10,1401.2799999999995,118.0038
11,1401.28,138.45280000000002
12,1401.28,147.13440000000003
13,1401.28,154.78740000000002
14,1401.28,154.78740000000002
15,1401.28,171.122
16,1401.28,171.122
17,1401.28,171.122
18,1401.28,180.8322
19,1401.28,180.8322
20,1401.28,180.8322
21,1401.28,180.8322
22,1401.28,180.8322
23,1401.28,189.5138
24,1401.28,189.5138
25,1401.28,200.2526
26,1401.28,216.5872
27,1401.28,226.2974
28,1401.28,243.6606
29,1401.28,256.4565999999999
30,1401.28,274.8484
31,1401.2799999999995,284.5586
32,1401.2799999999995,306.03620000000006
33,1401.2799999999995,312.66060000000004
34,1401.2799999999995,332.0810000000001
35,1401.2799999999995,340.7626000000001
36,1401.2799999999995,348.4156000000001
37,1401.2799999999995,348.4156000000001
38,1401.2799999999995,360.1830000000001
39,1401.2799999999995,370.9218000000001
40,1401.2799999999995,393.4280000000001
41,1401.2799999999995,401.0810000000001
42,1401.2799999999995,401.0810000000001
43,1401.2799999999995,410.7912000000001
44,1401.2799999999995,410.7912000000001
45,1401.2799999999995,410.7912000000001
46,1401.2799999999995,444.0362000000001
47,1401.2799999999995,444.0362000000001
48,1401.2799999999995,444.0362000000001
49,1401.2799999999995,453.7464000000001
50,1401.2799999999995,463.4566000000001
51,1401.2799999999995,463.4566000000001
52,1401.2799999999995,463.4566000000001
53,1401.2799999999995,469.6282000000001
54,1401.2799999999995,482.4242
55,1401.2799999999995,482.4242
56,1401.2799999999995,482.4242
57,1401.2799999999995,493.16300000000007
58,1401.2799999999995,505.95900000000006
59,1401.2799999999995,526.408
60,1401.2799999999995,526.408
61,1401.2799999999995,526.408
62,1401.28,577.0162000000001
63,1401.28,577.0162000000001
64,1401.28,577.0162000000001
65,1401.28,584.6692
66,1401.2799999999995,595.408
67,1401.28,603.061
68,1401.28,621.0000000000001
69,1401.28,611.2898000000001
70,1401.2799999999995,609.2326000000002
71,1401.2799999999995,609.2326000000002
72,1401.2799999999995,616.8856000000002
73,1401.2799999999995,616.8856000000002
74,1401.2799999999995,616.8856000000002
