time,Cloud,Fog,Wan down,Wan up,WIFI
0,340.9,0,1.0286,1065.9458000000002,0.03
1,340.9,0,1.0286,1065.9458000000002,0.03
2,355.6,0,12.343200000000005,1067.9432000000002,0.12
3,355.6,0,12.343200000000005,1067.9432000000002,0.12
4,360.5,0,16.4576,1068.6090000000002,0.15
5,360.5,0,16.4576,1068.6090000000002,0.15
6,370.3,0,22.629200000000008,1069.9406,0.21
7,370.3,0,22.629200000000008,1069.9406,0.21
8,380.1,0,28.80080000000001,1071.2722,0.27
9,394.8,0,41.14399999999999,1073.2696,0.3600000000000001
10,399.7,0,45.2584,1073.9354,0.3900000000000001
11,409.5,0,54.51580000000001,1075.267,0.4500000000000002
12,414.4,0,57.601600000000005,1075.9328,0.4800000000000002
13,419.3,0,59.6588,1076.5986,0.5100000000000002
14,419.3,0,59.6588,1076.5986,0.5100000000000002
15,429.1,0,64.80179999999999,1077.9302,0.5700000000000003
16,429.1,0,64.80179999999999,1077.9302,0.5700000000000003
17,429.1,0,64.80179999999999,1077.9302,0.5700000000000003
18,434.0,0,68.91619999999999,1078.596,0.6000000000000003
19,434.0,0,68.91619999999999,1078.596,0.6000000000000003
20,434.0,0,68.91619999999999,1078.596,0.6000000000000003
21,434.0,0,68.91619999999999,1078.596,0.6000000000000003
22,434.0,0,68.91619999999999,1078.596,0.6000000000000003
23,438.9,0,72.002,1079.2618,0.6300000000000003
24,438.9,0,72.002,1079.2618,0.6300000000000003
25,443.8,0,77.145,1079.9276,0.6600000000000004
26,453.6,0,82.288,1081.2592000000002,0.7200000000000004
27,458.5,0,86.4024,1081.9250000000002,0.7500000000000004
28,468.3,0,92.57399999999998,1083.2566000000002,0.8100000000000005
29,473.2,0,99.7742,1083.9224000000002,0.8400000000000005
30,483.0,0,106.9744,1085.254,0.9000000000000006
31,487.9,0,111.0888,1085.9198,0.9300000000000006
32,497.7,0,121.3748,1087.2514,0.9900000000000008
33,502.6,0,122.40339999999998,1087.9172,1.020000000000001
34,512.4,0,130.6322,1089.2488,1.0800000000000007
35,517.3,0,133.71800000000002,1089.9146,1.1100000000000008
36,522.2,0,135.7752,1090.5804,1.1400000000000008
37,522.2,0,135.7752,1090.5804,1.1400000000000008
38,527.1,0,141.9468,1091.2462,1.1700000000000008
39,532.0,0,147.08979999999997,1091.9120000000005,1.2000000000000008
40,541.8,0,158.40439999999998,1093.2436000000002,1.260000000000001
41,546.7,0,160.46159999999998,1093.9094,1.290000000000001
42,546.7,0,160.46159999999998,1093.9094,1.290000000000001
43,551.6,0,164.576,1094.5752000000002,1.320000000000001
44,551.6,0,164.576,1094.5752000000002,1.320000000000001
45,551.6,0,164.576,1094.5752000000002,1.320000000000001
46,566.3,0,181.0336,1096.5726,1.410000000000001
47,566.3,0,181.0336,1096.5726,1.410000000000001
48,566.3,0,181.0336,1096.5726,1.410000000000001
49,571.2,0,185.148,1097.2384000000002,1.440000000000001
50,576.1,0,189.2624,1097.9042,1.470000000000001
51,576.1,0,189.2624,1097.9042,1.470000000000001
52,576.1,0,189.2624,1097.9042,1.470000000000001
53,576.1,0,195.43400000000003,1097.9042,1.470000000000001
54,581.0,0,202.6342,1098.5700000000002,1.500000000000001
55,581.0,0,202.6342,1098.5700000000002,1.500000000000001
56,581.0,0,202.6342,1098.5700000000002,1.500000000000001
57,585.9,0,207.7772,1099.2358,1.5300000000000011
58,590.8,0,214.9774,1099.9016,1.5600000000000012
59,600.6,0,224.2348,1101.2332,1.6200000000000012
60,600.6,0,224.2348,1101.2332,0.9600000000000006
61,600.6,0,224.2348,1101.2332,0.9600000000000006
62,625.1,0,246.864,1104.5622,1.1100000000000008
63,625.1,0,246.864,1104.5622,1.1100000000000008
64,625.1,0,246.864,1104.5622,1.1100000000000008
65,630.0,0,248.9212,1105.2280000000003,1.1700000000000008
66,634.9,0,254.0642,1105.8938,1.2000000000000008
67,639.8,0,256.1214,1106.5596000000005,1.2300000000000009
68,644.7,0,268.4646,1107.2254,1.290000000000001
69,639.8,0,264.3502,1106.5596000000005,1.290000000000001
70,639.8,0,262.29299999999995,1106.5596000000005,1.320000000000001
71,639.8,0,262.29299999999995,1106.5596000000005,1.320000000000001
72,644.7,0,264.3502,1107.2254,1.350000000000001
73,644.7,0,264.3502,1107.2254,1.350000000000001
74,644.7,0,264.3502,1107.2254,1.350000000000001
75,644.7,0,267.4359999999999,1107.2254,1.380000000000001
76,649.6,0,270.5217999999999,1107.8912000000005,1.410000000000001
77,659.4,0,277.722,1109.2228000000002,1.470000000000001
78,669.2,0,284.9222,1110.5544000000002,1.5300000000000011
79,664.3,0,282.86499999999995,1109.8886000000002,1.5300000000000011
80,669.2,0,288.00800000000004,1110.5544000000002,1.5600000000000012
81,674.1,0,294.17959999999994,1111.2202,1.5900000000000012
82,674.1,0,294.17959999999994,1111.2202,1.5900000000000012
83,679.0,0,299.3226,1111.8860000000002,1.6200000000000012
84,679.0,0,299.3226,1111.8860000000002,1.6200000000000012
85,688.8,0,309.6086,1113.2176000000002,1.6800000000000013
86,688.8,0,310.6372,1113.2176000000002,1.6800000000000013
87,683.9,0,306.5228,1112.5518,1.6800000000000013
88,683.9,0,306.5228,1112.5518,1.6800000000000013
89,693.7,0,313.723,1113.8834,1.740000000000001
90,693.7,0,313.723,1113.8834,1.740000000000001
91,708.4,0,326.0662,1115.8808,1.8300000000000012
92,713.3,0,329.152,1116.5466,1.8600000000000012
93,708.4,0,325.03760000000005,1115.8808,1.8600000000000012
94,703.5,0,322.98040000000003,1115.215,1.8300000000000012
95,713.3,0,333.26640000000003,1116.5466,1.8900000000000012
96,723.1,0,342.5238,1117.8782,1.9500000000000013
97,728.0,0,347.6668,1118.544,1.980000000000001
98,732.9,0,351.7811999999999,1119.2098,2.0100000000000016
99,732.9,0,351.7811999999999,1119.2098,2.0100000000000016
100,732.9,0,358.98139999999995,1119.2098,2.0100000000000016
101,728.0,0,360.01,1118.544,2.0100000000000016
102,732.9,0,362.0672,1119.2098,2.0400000000000014
103,747.6,0,372.3532,1121.2072,2.130000000000001
104,757.4,0,383.6678,1122.5388,2.1900000000000004
105,757.4,0,383.6678,1122.5388,2.1900000000000004
106,757.4,0,383.6678,1122.5388,2.1900000000000004
107,762.3,0,386.7536,1123.2046,2.22
108,762.3,0,386.7536,1123.2046,2.22
109,767.2,0,388.8108,1123.8704,2.25
110,772.1,0,394.9824,1124.5362,2.28
111,777.0,0,399.0968,1125.202,2.31
112,777.0,0,403.2112,1125.202,2.31
113,777.0,0,401.154,1125.202,2.3399999999999994
114,777.0,0,401.154,1125.202,2.3399999999999994
115,777.0,0,401.154,1125.202,2.3399999999999994
116,786.8,0,410.4114,1126.5336,2.399999999999999
117,786.8,0,410.4114,1126.5336,2.399999999999999
118,796.6,0,414.5258,1127.8652,2.459999999999998
119,796.6,0,414.5258,1127.8652,2.459999999999998
120,801.5,0,418.6402,1128.531,1.2000000000000008
121,796.6,0,415.5544,1127.8652,1.2300000000000009
122,796.6,0,414.5257999999999,1127.8652,1.260000000000001
123,806.4,0,423.7831999999999,1129.1968,1.320000000000001
124,811.3,0,426.869,1129.8626,1.350000000000001
125,806.4,0,424.8118,1129.1968,1.350000000000001
126,811.3,0,428.9262,1129.8626,1.380000000000001
127,806.4,0,426.869,1129.1968,1.380000000000001
128,811.3,0,429.9548,1129.8626,1.410000000000001
129,816.2,0,432.012,1130.5284,1.470000000000001
130,821.1,0,437.155,1131.1942,1.500000000000001
131,821.1,0,437.155,1131.1942,1.500000000000001
132,826.0,0,439.2122,1131.86,1.5300000000000011
133,830.9,0,444.3552,1132.5258,1.5600000000000012
134,845.6,0,459.7842,1134.5232,1.6500000000000012
135,845.6,0,459.7842,1134.5232,1.6500000000000012
136,845.6,0,461.8414,1134.5232,1.6800000000000013
137,840.7,0,459.7842,1133.8574,1.6800000000000013
138,840.7,0,459.7842,1133.8574,1.6800000000000013
139,845.6,0,462.87,1134.5232,1.7100000000000013
140,845.6,0,462.87,1134.5232,1.7100000000000013
141,850.5,0,469.0416,1135.189,1.740000000000001
142,850.5,0,469.0416,1135.189,1.740000000000001
143,860.3,0,476.2418,1136.5206000000005,1.8000000000000014
144,879.9,0,490.6421999999999,1139.1838000000002,1.9200000000000013
145,870.1,0,484.4706,1137.8522000000005,1.9200000000000013
146,875.0,0,488.5849999999999,1138.5180000000005,1.9500000000000013
147,879.9,0,494.75659999999993,1139.1838000000002,1.980000000000001
148,879.9,0,494.75659999999993,1139.1838000000002,1.980000000000001
149,884.8,0,497.8424,1139.8496000000002,2.0400000000000014
150,889.7,0,499.8996,1140.5154000000002,2.070000000000001
151,899.5,0,508.1284,1141.8470000000002,2.130000000000001
152,904.4,0,519.443,1142.5128000000002,2.1900000000000004
153,899.5,0,513.2714000000001,1141.8470000000002,2.1900000000000004
154,904.4,0,518.4143999999999,1142.5128,2.25
155,914.2,0,525.6145999999999,1143.8444000000002,2.31
156,919.1,0,529.7289999999999,1144.5102000000002,2.3399999999999994
157,928.9,0,540.015,1145.8418,2.399999999999999
158,933.8,0,544.1294,1146.5076,2.429999999999999
159,933.8,0,544.1294,1146.5076,2.429999999999999
160,933.8,0,546.1865999999999,1146.5076,2.429999999999999
161,943.6,0,554.4153999999999,1147.8392,2.4899999999999984
162,933.8,0,548.2438,1146.5076,2.459999999999998
163,924.0,0,543.1008,1145.1760000000002,2.459999999999998
164,933.8,0,551.3296,1146.5076,2.5199999999999982
165,933.8,0,552.3582,1146.5076,2.549999999999998
166,938.7,0,555.444,1147.1734,2.579999999999998
167,948.5,0,563.6728,1148.505,2.639999999999997
168,948.5,0,563.6728,1148.505,2.6699999999999973
169,948.5,0,563.6728,1148.505,2.6699999999999973
170,968.1,0,585.2734,1151.1682,2.7899999999999965
171,973.0,0,588.3592,1151.834,2.8199999999999963
172,968.1,0,586.3019999999999,1151.1682,2.7899999999999965
173,968.1,0,586.3019999999999,1151.1682,2.7899999999999965
174,973.0,0,591.4449999999999,1151.834,2.8199999999999963
175,977.9,0,595.5594,1152.4998,2.849999999999996
176,977.9,0,595.5594,1152.4998,2.849999999999996
177,977.9,0,596.588,1152.4998,2.879999999999996
178,982.8,0,598.6451999999999,1153.1656,2.9399999999999955
179,987.7,0,602.7596,1153.8314,2.9699999999999958
180,992.6,0,605.8453999999999,1154.4972,1.470000000000001
181,997.5,0,610.9884,1155.163,1.500000000000001
182,1002.4,0,618.1886,1155.8288,1.5600000000000012
183,992.6,0,613.0455999999999,1154.4972,1.5600000000000012
184,982.8,0,608.9311999999999,1153.1656,1.5600000000000012
185,977.9,0,603.7882,1152.4998,1.5900000000000012
186,973.0,0,601.7309999999999,1151.834,1.5900000000000012
187,977.9,0,603.7881999999998,1152.4998,1.6200000000000012
188,982.8,0,607.9025999999999,1153.1656,1.6500000000000012
189,982.8,0,607.9025999999999,1153.1656,1.6500000000000012
190,982.8,0,607.9025999999999,1153.1656,1.6500000000000012
191,987.7,0,614.0741999999999,1153.8314,1.6800000000000013
192,987.7,0,614.0741999999999,1153.8314,1.6800000000000013
193,977.9,0,606.874,1152.4998,1.6800000000000013
194,982.8,0,610.9884,1153.1656,1.7100000000000013
195,982.8,0,610.9884,1153.1656,1.7100000000000013
196,977.9,0,606.8739999999999,1152.4998,1.7100000000000013
197,973.0,0,602.7595999999999,1151.834,1.740000000000001
198,973.0,0,605.8453999999998,1151.834,1.8000000000000014
199,982.8,0,615.1027999999999,1153.1656,1.8600000000000012
200,987.7,0,620.2457999999998,1153.8314,1.9200000000000013
201,992.6,0,624.3601999999997,1154.4972,1.9500000000000013
202,992.6,0,623.3315999999999,1154.4972,1.980000000000001
203,997.5,0,633.6176,1155.163,2.0400000000000014
204,992.6,0,631.5604,1154.4972,2.0400000000000014
205,997.5,0,636.7034,1155.163,2.070000000000001
206,997.5,0,636.7034,1155.163,2.100000000000001
207,1002.4,0,640.8177999999999,1155.8288,2.130000000000001
208,997.5,0,640.8177999999998,1155.163,2.130000000000001
209,1007.3,0,646.9893999999999,1156.4946,2.1900000000000004
210,1012.2,0,654.1895999999999,1157.1604,2.22
211,1002.4,0,648.0179999999998,1155.8288,2.22
212,1007.3,0,655.2181999999999,1156.4946,2.28
213,1002.4,0,651.1038,1155.8288,2.28
214,997.5,0,645.9608,1155.163,2.28
215,992.6,0,642.875,1154.4972,2.31
216,987.7,0,637.7319999999999,1153.8314,2.31
217,977.9,0,626.4173999999998,1152.4998,2.3399999999999994
218,977.9,0,626.4173999999998,1152.4998,2.369999999999999
219,987.7,0,636.7033999999999,1153.8314,2.429999999999999
220,982.8,0,626.4173999999998,1153.1656,2.459999999999998
221,977.9,0,623.3315999999999,1152.4998,2.459999999999998
222,982.8,0,622.3029999999999,1153.1656,2.5199999999999982
223,973.0,0,612.0169999999999,1151.834,2.5199999999999982
224,977.9,0,619.2171999999999,1152.4998,2.549999999999998
225,982.8,0,621.2743999999999,1153.1656,2.579999999999998
226,977.9,0,619.2171999999999,1152.4998,2.549999999999998
227,973.0,0,616.1313999999999,1151.834,2.549999999999998
228,963.2,0,606.8739999999999,1150.5024,2.549999999999998
229,968.1,0,608.9311999999999,1151.1682,2.579999999999998
230,973.0,0,613.0455999999999,1151.834,2.6099999999999977
231,963.2,0,604.8168,1150.5024,2.6099999999999977
232,963.2,0,608.9311999999999,1150.5024,2.6099999999999977
233,963.2,0,612.0169999999999,1150.5024,2.639999999999997
234,968.1,0,617.16,1151.1682,2.6699999999999973
235,968.1,0,617.16,1151.1682,2.6699999999999973
236,982.8,0,633.6175999999999,1153.1656,2.7599999999999967
237,982.8,0,635.6748,1153.1656,2.7599999999999967
238,992.6,0,641.8463999999999,1154.4972,2.8199999999999963
239,982.8,0,632.5889999999999,1153.1656,2.8199999999999963
240,987.7,0,634.6462,1153.8314,0.9600000000000006
241,982.8,0,628.4746,1153.1656,0.9600000000000006
242,987.7,0,631.5604,1153.8314,0.9900000000000008
243,987.7,0,632.5889999999999,1153.8314,1.020000000000001
244,997.5,0,648.0179999999999,1155.163,1.1700000000000008
245,997.5,0,642.875,1155.163,1.2000000000000008
246,992.6,0,637.732,1154.4972,1.2000000000000008
247,992.6,0,639.7891999999998,1154.4972,1.2300000000000009
248,997.5,0,643.9035999999999,1155.163,1.290000000000001
249,992.6,0,641.8463999999999,1154.4972,1.290000000000001
250,997.5,0,645.9607999999998,1155.163,1.320000000000001
251,997.5,0,643.9035999999999,1155.163,1.350000000000001
252,997.5,0,639.7891999999999,1155.1629999999998,1.410000000000001
253,992.6,0,635.6747999999999,1154.4972,1.410000000000001
254,997.5,0,630.5318,1155.163,1.500000000000001
255,997.5,0,627.4459999999999,1155.163,1.5600000000000012
256,1002.4,0,632.5889999999999,1155.8287999999998,1.5900000000000012
