time,v2i static,v2i dynamic,cctv static,cctv dynamic
0,0.0,6.6244,0.0,1401.28
1,0.0,6.6244,0.0,1401.28
2,0.0,34.7264,0.0,1401.2799999999997
3,0.0,34.7264,0.0,1401.2799999999997
4,0.0,44.4366,0.0,1401.2799999999997
5,0.0,44.4366,0.0,1401.2799999999997
6,0.0,61.7998,0.0,1401.2799999999997
7,0.0,61.7998,0.0,1401.2799999999997
8,0.0,79.163,0.0,1401.2799999999997
9,0.0,108.2936,0.0,1401.2799999999997
10,0.0,118.0038,0.0,1401.2799999999997
11,0.0,138.45280000000002,0.0,1401.28
12,0.0,147.13440000000003,0.0,1401.28
13,0.0,154.78740000000002,0.0,1401.28
14,0.0,154.78740000000002,0.0,1401.28
15,0.0,171.122,0.0,1401.28
16,0.0,171.122,0.0,1401.28
17,0.0,171.122,0.0,1401.28
18,0.0,180.8322,0.0,1401.28
19,0.0,180.8322,0.0,1401.28
20,0.0,180.8322,0.0,1401.28
21,0.0,180.8322,0.0,1401.28
22,0.0,180.8322,0.0,1401.28
23,0.0,189.5138,0.0,1401.28
24,0.0,189.5138,0.0,1401.28
25,0.0,200.2526,0.0,1401.28
26,0.0,216.5872,0.0,1401.28
27,0.0,226.29739999999998,0.0,1401.28
28,0.0,243.66059999999996,0.0,1401.28
29,0.0,256.4565999999999,0.0,1401.28
30,0.0,274.8484,0.0,1401.28
31,0.0,284.5586,0.0,1401.2799999999997
32,0.0,306.03620000000006,0.0,1401.2799999999997
33,0.0,312.66060000000004,0.0,1401.2799999999997
34,0.0,332.0810000000001,0.0,1401.2799999999997
35,0.0,340.7626000000001,0.0,1401.2799999999997
36,0.0,348.4156000000001,0.0,1401.2799999999997
37,0.0,348.4156000000001,0.0,1401.2799999999997
38,0.0,360.1830000000001,0.0,1401.2799999999997
39,0.0,370.92180000000013,0.0,1401.2799999999997
40,0.0,393.4280000000001,0.0,1401.2799999999997
41,0.0,401.08100000000013,0.0,1401.2799999999997
42,0.0,401.08100000000013,0.0,1401.2799999999997
43,0.0,410.7912000000001,0.0,1401.2799999999997
44,0.0,410.7912000000001,0.0,1401.2799999999997
45,0.0,410.7912000000001,0.0,1401.2799999999997
46,0.0,444.0362000000001,0.0,1401.2799999999997
47,0.0,444.0362000000001,0.0,1401.2799999999997
48,0.0,444.0362000000001,0.0,1401.2799999999997
49,0.0,453.7464000000001,0.0,1401.2799999999997
50,0.0,463.4566000000001,0.0,1401.2799999999997
51,0.0,463.4566000000001,0.0,1401.2799999999997
52,0.0,463.4566000000001,0.0,1401.2799999999997
53,0.0,469.62820000000005,0.0,1401.2799999999997
54,0.0,482.42420000000004,0.0,1401.2799999999997
55,0.0,482.42420000000004,0.0,1401.2799999999997
56,0.0,482.42420000000004,0.0,1401.2799999999997
57,0.0,493.16300000000007,0.0,1401.2799999999997
58,0.0,505.95900000000006,0.0,1401.2799999999997
59,0.0,526.408,0.0,1401.2799999999997
60,0.0,526.408,0.0,1401.2799999999997
61,0.0,526.408,0.0,1401.2799999999997
62,0.0,577.0162000000001,0.0,1401.28
63,0.0,577.0162000000001,0.0,1401.28
64,0.0,577.0162000000001,0.0,1401.28
65,0.0,584.6692,0.0,1401.28
66,0.0,595.408,0.0,1401.2799999999997
67,0.0,603.061,0.0,1401.28
68,0.0,621.0000000000001,0.0,1401.28
69,0.0,611.2898000000001,0.0,1401.28
70,0.0,609.2326000000002,0.0,1401.2799999999997
71,0.0,609.2326000000002,0.0,1401.2799999999997
72,0.0,616.8856000000002,0.0,1401.2799999999997
73,0.0,616.8856000000002,0.0,1401.2799999999997
74,0.0,616.8856000000002,0.0,1401.2799999999997
75,0.0,619.9714000000001,0.0,1401.2799999999997
76,0.0,628.6530000000001,0.0,1401.2799999999997
77,0.0,647.0448000000001,0.0,1401.2799999999997
78,0.0,665.4366000000001,0.0,1401.28
79,0.0,657.7836000000001,0.0,1401.28
80,0.0,668.5224000000001,0.0,1401.28
81,0.0,680.2898,0.0,1401.28
82,0.0,680.2898,0.0,1401.28
83,0.0,691.0286,0.0,1401.28
84,0.0,691.0286,0.0,1401.28
85,0.0,712.5061999999999,0.0,1401.28
86,0.0,713.5347999999999,0.0,1401.28
87,0.0,703.8245999999999,0.0,1401.28
88,0.0,703.8245999999999,0.0,1401.28
89,0.0,722.2163999999999,0.0,1401.28
