time,taxis
0,1
1,1
2,4
3,4
4,5
5,5
6,7
7,7
8,9
9,12
10,13
11,15
12,16
13,17
14,17
15,19
16,19
17,19
18,20
19,20
20,20
21,20
22,20
23,21
24,21
25,22
26,24
27,25
28,27
29,28
30,30
31,31
32,33
33,34
34,36
35,37
36,38
37,38
38,39
39,40
40,42
41,43
42,43
43,44
44,44
45,44
46,47
47,47
48,47
49,48
50,49
51,49
52,49
53,49
54,50
55,50
56,50
57,51
58,52
59,54
60,54
61,54
62,59
63,59
64,59
65,60
66,61
67,62
68,63
69,62
70,62
71,62
72,63
73,63
74,63
75,63
76,64
77,66
78,68
79,67
80,68
81,69
82,69
83,70
84,70
85,72
86,72
87,71
88,71
89,73
90,73
91,76
92,77
93,76
94,75
95,77
96,79
97,80
98,81
99,81
100,81
101,80
102,81
103,84
104,86
105,86
106,86
107,87
108,87
109,88
110,89
111,90
112,90
113,90
114,90
115,90
116,92
117,92
118,94
119,94
120,95
121,94
122,94
123,96
124,97
125,96
126,97
127,96
128,97
129,98
130,99
131,99
132,100
133,101
134,104
135,104
136,104
137,103
138,103
139,104
140,104
141,105
142,105
143,107
144,111
145,109
146,110
147,111
148,111
149,112
150,113
151,115
152,116
153,115
154,116
155,118
156,119
157,121
158,122
159,122
160,122
161,124
162,122
163,120
164,122
165,122
166,123
167,125
168,125
169,125
170,129
171,130
172,129
173,129
174,130
175,131
176,131
177,131
178,132
179,133
180,134
181,135
182,136
183,134
184,132
185,131
186,130
187,131
188,132
189,132
190,132
191,133
192,133
193,131
194,132
195,132
196,131
197,130
198,130
199,132
200,133
201,134
202,134
203,135
204,134
205,135
206,135
207,136
208,135
209,137
210,138
211,136
212,137
213,136
214,135
215,134
216,133
217,131
218,131
219,133
220,132
221,131
222,132
223,130
224,131
225,132
226,131
227,130
228,128
229,129
230,130
231,128
232,128
233,128
234,129
235,129
236,132
237,132
238,134
239,132
240,133
241,132
242,133
243,133
244,135
245,135
246,134
247,134
248,135
249,134
250,135
251,135
252,135
253,134
254,135
255,135
256,136
257,136
258,136
259,136
260,136
261,133
262,131
263,130
264,130
265,131
266,131
267,132
268,132
269,133
270,133
271,133
272,133
273,130
274,130
275,132
276,129
277,128
278,128
279,130
280,130
281,129
282,128
283,129
284,128
285,128
286,126
287,126
288,128
289,128
290,129
291,128
292,128
293,128
294,130
295,130
296,129
297,130
298,129
299,129
300,128
301,128
302,129
303,131
304,131
305,132
306,131
307,131
308,130
309,130
310,129
311,131
312,132
313,130
314,128
315,128
316,126
317,126
318,124
319,123
320,122
321,123
322,121
323,122
324,121
325,120
326,123
327,124
328,126
329,124
330,124
331,125
332,123
333,125
334,124
335,124
336,122
337,123
338,122
339,122
340,121
341,121
342,122
343,123
344,123
345,123
346,125
347,123
348,124
349,121
350,120
351,120
352,119
353,119
354,120
355,120
356,121
357,121
358,120
359,119
360,120
361,120
362,120
363,121
364,121
365,121
366,121
367,121
368,120
369,120
370,119
371,118
372,116
373,116
374,116
375,115
376,114
377,113
378,114
379,114
380,114
381,115
382,116
383,117
384,116
385,116
386,119
387,119
388,119
389,122
390,121
391,122
392,122
393,121
394,122
395,124
396,124
397,122
398,123
399,126
400,127
401,127
402,127
403,128
404,127
405,126
406,126
407,127
408,129
409,130
410,131
411,132
412,132
413,133
414,133
415,130
416,130
417,128
418,131
419,130
420,128
421,128
422,127
423,126
424,126
425,126
426,125
427,125
428,126
429,128
430,130
431,130
432,130
433,131
434,132
435,132
436,132
437,131
438,131
439,131
440,129
441,130
442,128
443,129
444,129
445,128
446,128
447,128
448,129
449,128
450,127
451,126
452,126
453,125
454,125
455,123
456,122
457,122
458,121
459,120
460,121
461,123
462,121
463,121
464,121
465,122
466,121
467,119
468,119
469,120
470,120
471,118
472,116
473,114
474,117
475,116
476,116
477,118
478,117
479,118
480,120
481,122
482,122
483,124
484,125
485,124
486,127
487,127
488,126
489,124
490,123
491,123
492,123
493,123
494,125
495,125
496,125
497,127
498,127
499,125
500,124
501,123
502,125
503,125
504,124
505,124
506,125
507,125
508,128
509,128
510,128
511,127
512,128
513,131
514,131
515,131
516,130
517,131
518,132
519,134
520,133
521,131
522,131
523,132
524,132
525,132
526,132
527,131
528,132
529,129
530,129
531,127
532,126
533,127
534,128
535,128
536,128
537,128
538,129
539,129
540,129
541,129
542,128
543,129
544,129
545,129
546,130
547,130
548,129
549,131
550,131
551,131
552,132
553,132
554,135
555,135
556,133
557,134
558,134
559,133
560,132
561,132
562,132
563,134
564,133
565,133
566,133
567,133
568,132
569,131
570,132
571,132
572,133
573,136
574,135
575,136
576,139
577,138
578,137
579,136
580,137
581,135
582,135
583,135
584,136
585,134
586,133
587,130
588,131
589,131
590,130
591,129
592,129
593,131
594,131
595,131
596,131
597,130
598,131
599,130
600,125
601,126
602,124
603,123
604,124
605,122
606,122
607,120
608,119
609,119
610,121
611,120
612,120
613,121
614,122
615,123
616,122
617,123
618,123
619,124
620,123
621,124
622,125
623,126
624,126
625,125
626,122
627,120
628,120
629,116
630,117
631,116
632,115
633,115
634,114
635,114
636,113
637,114
638,114
639,113
640,113
641,111
642,111
643,108
644,107
645,107
646,108
647,109
648,109
649,109
650,107
651,106
652,105
653,106
654,105
655,104
656,101
657,99
658,98
659,97
660,97
661,95
662,96
663,96
664,97
665,97
666,97
667,98
668,97
669,96
670,95
671,94
672,93
673,92
674,93
675,95
676,96
677,95
678,94
679,95
680,95
681,97
682,98
683,98
684,98
685,98
686,100
687,99
688,100
689,99
690,99
691,100
692,100
693,97
694,98
695,98
696,98
697,97
698,96
699,96
700,95
701,94
702,94
703,93
704,93
705,92
706,91
707,92
708,92
709,91
710,91
711,93
712,93
713,94
714,96
715,94
716,93
717,93
718,96
719,95
720,96
721,94
722,93
723,92
724,92
725,93
726,94
727,92
728,90
729,90
730,91
731,91
732,92
733,91
734,93
735,94
736,94
737,95
738,94
739,93
740,95
741,95
742,97
743,95
744,95
745,94
746,94
747,94
748,95
749,95
750,92
751,91
752,89
753,89
754,88
755,87
756,87
757,86
758,86
759,86
760,86
761,85
762,85
763,84
764,84
765,83
766,83
767,82
768,82
769,84
770,84
771,84
772,85
773,85
774,85
775,87
776,86
777,86
778,84
779,83
780,83
781,84
782,85
783,86
784,87
785,88
786,88
787,90
788,90
789,92
790,92
791,94
792,95
793,97
794,97
795,99
796,98
797,99
798,99
799,95
800,95
801,94
802,94
803,94
804,94
805,95
806,96
807,95
808,96
809,97
810,96
811,96
